Topic 0
Topic coherence: -2810.65523792
AVG: -2.29441243911
SD:  0.762874307648
excludes stock  0.00180121523435     -5.06259503303/-2810.65523792
asset nil  0.00178509258949     -5.01727983681/-2810.65523792
earnings excludes  0.00178213505855     -5.008967237/-2810.65523792
company excludes  0.00177769963237     -4.99650078316/-2810.65523792
industry nil  0.00173283967654     -4.87041491332/-2810.65523792
excludes month  0.00171786054446     -4.8283137373/-2810.65523792
nil stock  0.00165695524022     -4.65712992492/-2810.65523792
billion excludes  0.00163657994862     -4.59986200484/-2810.65523792
end excludes  0.00162231938737     -4.55978048369/-2810.65523792
company nil  0.00161519005228     -4.53974238067/-2810.65523792
company oper  0.00159222796135     -4.47520385953/-2810.65523792
nil share  0.0015714082494     -4.41668682708/-2810.65523792
dlr nil  0.00156746723162     -4.40560998481/-2810.65523792
pretax stock  0.0015546011455     -4.36944785247/-2810.65523792
month nil  0.00154264286623     -4.3358372522/-2810.65523792
nil prior  0.00152356156729     -4.28220629939/-2810.65523792
billion nil  0.00151388952339     -4.25502151855/-2810.65523792
excludes industry  0.00150918767862     -4.2418062539/-2810.65523792
feb pretax  0.00149704353304     -4.20767324753/-2810.65523792
dlrs nil  0.0014936150703     -4.19803702078/-2810.65523792
corp nil  0.00147124645562     -4.13516655674/-2810.65523792
current nil  0.00146492881077     -4.11740983515/-2810.65523792
company feb  0.0014631102066     -4.11229836584/-2810.65523792
corp excludes  0.00146246109758     -4.11047394415/-2810.65523792
nil result  0.00145746289803     -4.09642572843/-2810.65523792
month pretax  0.00145543101089     -4.09071479417/-2810.65523792
billion discontinue  0.0014344975196     -4.03187796724/-2810.65523792
company discontinue  0.00141948965847     -3.98969604375/-2810.65523792
excludes result  0.00141555699863     -3.97864269277/-2810.65523792
ct pretax  0.00141408734886     -3.97451201396/-2810.65523792
current excludes  0.00140006082044     -3.93508827836/-2810.65523792
earnings nil  0.00139126097558     -3.91035494833/-2810.65523792
corp pretax  0.00138480889638     -3.89222037813/-2810.65523792
pretax rev  0.00137930157317     -3.87674119128/-2810.65523792
mths year  0.00137752544462     -3.87174910629/-2810.65523792
feb year  0.00136375125003     -3.83303459411/-2810.65523792
nil sale  0.00136179133455     -3.82752594741/-2810.65523792
dividend excludes  0.00135927585866     -3.8204558119/-2810.65523792
dlr excludes  0.001354763449     -3.80777298405/-2810.65523792
mln nil  0.00134998935156     -3.7943546421/-2810.65523792
lt nil  0.00134878449298     -3.79096820001/-2810.65523792
industry pretax  0.00134196559356     -3.77180262465/-2810.65523792
excludes share  0.00133773336551     -3.75990729069/-2810.65523792
dividend nil  0.00133770628975     -3.75983119009/-2810.65523792
mths pretax  0.00133279877853     -3.74603786795/-2810.65523792
feb income  0.00132982144799     -3.73766961828/-2810.65523792
company exclude  0.00132931534702     -3.73624714294/-2810.65523792
excludes full  0.00132672761177     -3.72897391132/-2810.65523792
asset rev  0.00132445646881     -3.72259051146/-2810.65523792
nil year  0.00132134529584     -3.71384607684/-2810.65523792
dlrs pretax  0.00131871127734     -3.70644275894/-2810.65523792
end oper  0.0013145628807     -3.6947830462/-2810.65523792
nil operation  0.00131386411336     -3.69281905212/-2810.65523792
excludes lt  0.00130716726615     -3.67399652342/-2810.65523792
nil quarter  0.00129844345796     -3.64947690625/-2810.65523792
excludes include  0.00129665662949     -3.64445474745/-2810.65523792
excludes sale  0.00128791554859     -3.61988658263/-2810.65523792
current pretax  0.00128318271225     -3.60658421139/-2810.65523792
lt pretax  0.00128047057815     -3.59896133748/-2810.65523792
include nil  0.00128010532323     -3.59793473182/-2810.65523792
end pretax  0.00127895429477     -3.59469958765/-2810.65523792
charge nil  0.00127596327609     -3.58629286534/-2810.65523792
excludes period  0.00127591634134     -3.58616094792/-2810.65523792
end nil  0.00127058240444     -3.57116909024/-2810.65523792
corp extraordinary  0.00126709462113     -3.56136613381/-2810.65523792
excludes income  0.0012641053311     -3.55296427013/-2810.65523792
dividend pretax  0.0012625248549     -3.54852209642/-2810.65523792
pretax prior  0.00125958847848     -3.54026895466/-2810.65523792
nil period  0.00125936503508     -3.53964093228/-2810.65523792
pretax share  0.00125571560128     -3.52938363208/-2810.65523792
excludes mln  0.00125339381598     -3.52285789406/-2810.65523792
asset feb  0.00125042944419     -3.51452606697/-2810.65523792
discontinue end  0.00124658754378     -3.50372780944/-2810.65523792
pretax qtr  0.00124453996207     -3.49797276319/-2810.65523792
company pretax  0.00124049097842     -3.48659246607/-2810.65523792
billion pretax  0.00123879712579     -3.48183163032/-2810.65523792
company extraordinary  0.00123637776587     -3.47503164367/-2810.65523792
pretax shrs  0.00123570788346     -3.47314883519/-2810.65523792
corp full  0.00123364016241     -3.46733718417/-2810.65523792
ct nil  0.00123111650242     -3.460244046/-2810.65523792
excludes prior  0.00122722172749     -3.44929717646/-2810.65523792
jan share  0.00122563101927     -3.44482624405/-2810.65523792
excludes year  0.00122402366017     -3.44030851178/-2810.65523792
charge feb  0.00121651913797     -3.41921588716/-2810.65523792
avg income  0.00121651913797     -3.41921588716/-2810.65523792
avg pretax  0.00121651913797     -3.41921588716/-2810.65523792
corp feb  0.00121584700873     -3.41732676359/-2810.65523792
corp discontinue  0.00120727336681     -3.39322921201/-2810.65523792
dlrs excludes  0.00120698256087     -3.39241185679/-2810.65523792
income rev  0.00120474337413     -3.38611827484/-2810.65523792
asset oper  0.00120467635584     -3.38592990953/-2810.65523792
mln pretax  0.0012046429782     -3.3858360965/-2810.65523792
income jan  0.0012036643933     -3.38308563172/-2810.65523792
full jan  0.0012036643933     -3.38308563172/-2810.65523792
pretax year  0.00120049185107     -3.37416870927/-2810.65523792
feb quarter  0.00120015556662     -3.37322352962/-2810.65523792
feb share  0.00119789316639     -3.36686470258/-2810.65523792
end extraordinary  0.00119618985887     -3.36207729238/-2810.65523792
asset pretax  0.00119511340804     -3.35905176021/-2810.65523792
full stock  0.00119468474664     -3.35784694079/-2810.65523792
billion prior  0.00119386321728     -3.35553790499/-2810.65523792
gain nil  0.00118917355517     -3.34235688164/-2810.65523792
operation pretax  0.00118884063766     -3.34142116528/-2810.65523792
dlr pretax  0.00118754136394     -3.33776935481/-2810.65523792
corp exclude  0.00118670180395     -3.33540964112/-2810.65523792
extraordinary feb  0.00118556145386     -3.33220451018/-2810.65523792
feb full  0.00118556145386     -3.33220451018/-2810.65523792
asset prior  0.00118360117936     -3.32669485436/-2810.65523792
dlrs feb  0.00118260392293     -3.32389191036/-2810.65523792
asset jan  0.0011772975977     -3.30897765957/-2810.65523792
exclude lt  0.00117385548732     -3.29930307398/-2810.65523792
discontinue lt  0.00117069289829     -3.29041412656/-2810.65523792
income mths  0.0011682024539     -3.28341434601/-2810.65523792
company prior  0.00116609843285     -3.27750066822/-2810.65523792
jan year  0.00116529011358     -3.27522876142/-2810.65523792
net pretax  0.00116253774913     -3.26749281387/-2810.65523792
discontinue result  0.00115919465827     -3.25809653802/-2810.65523792
excludes pretax  0.00115919465827     -3.25809653802/-2810.65523792
earnings rev  0.00115723438376     -3.25258688221/-2810.65523792
corp oper  0.00114881616114     -3.22892616072/-2810.65523792
discontinue dlr  0.00114563546454     -3.21998631915/-2810.65523792
dlrs jan  0.00114464688674     -3.21720776777/-2810.65523792
earnings pretax  0.00114464688674     -3.21720776777/-2810.65523792
income shr  0.00113744686518     -3.19697098948/-2810.65523792
