Topic 0
Topic coherence: -1611.60088048
AVG: -2.06615497498
SD:  0.683408656564
company oper  0.00277686858684     -4.47520385953/-1611.60088048
company feb  0.00255168535562     -4.11229836584/-1611.60088048
billion discontinue  0.00250178441577     -4.03187796724/-1611.60088048
company discontinue  0.00247561048896     -3.98969604375/-1611.60088048
mths year  0.00240242429325     -3.87174910629/-1611.60088048
feb year  0.00237840189871     -3.83303459411/-1611.60088048
company exclude  0.00231834518595     -3.73624714294/-1611.60088048
end oper  0.00229261667138     -3.6947830462/-1611.60088048
corp extraordinary  0.00220983134034     -3.56136613381/-1611.60088048
discontinue end  0.00217406670093     -3.50372780944/-1611.60088048
company extraordinary  0.00215626070062     -3.47503164367/-1611.60088048
jan share  0.00213751821916     -3.44482624405/-1611.60088048
charge feb  0.00212162696644     -3.41921588716/-1611.60088048
corp feb  0.00212045476332     -3.41732676359/-1611.60088048
corp discontinue  0.00210550220784     -3.39322921201/-1611.60088048
feb quarter  0.00209308866139     -3.37322352962/-1611.60088048
feb share  0.00208914300269     -3.36686470258/-1611.60088048
end extraordinary  0.00208617240974     -3.36207729238/-1611.60088048
billion prior  0.00208211471316     -3.35553790499/-1611.60088048
corp exclude  0.00206962510477     -3.33540964112/-1611.60088048
extraordinary feb  0.00206763631773     -3.33220451018/-1611.60088048
dlrs feb  0.00206247834101     -3.32389191036/-1611.60088048
exclude lt  0.00204722094281     -3.29930307398/-1611.60088048
discontinue lt  0.00204170534182     -3.29041412656/-1611.60088048
company prior  0.00203369252766     -3.27750066822/-1611.60088048
jan year  0.00203228280717     -3.27522876142/-1611.60088048
discontinue result  0.00202165224497     -3.25809653802/-1611.60088048
earnings rev  0.00201823349788     -3.25258688221/-1611.60088048
corp oper  0.00200355199592     -3.22892616072/-1611.60088048
discontinue dlr  0.00199800481506     -3.21998631915/-1611.60088048
dlrs jan  0.00199628072107     -3.21720776777/-1611.60088048
feb include  0.0019809306773     -3.19246962371/-1611.60088048
feb profit  0.0019761086083     -3.18469837307/-1611.60088048
discontinue mln  0.00197468098634     -3.18239761627/-1611.60088048
end exclude  0.00196915139536     -3.17348612257/-1611.60088048
corp jan  0.00196704140528     -3.1700856607/-1611.60088048
extraordinary lt  0.00196679315522     -3.16968558068/-1611.60088048
earnings shr  0.00195839368989     -3.15614899496/-1611.60088048
feb tax  0.00195644164688     -3.15300308072/-1611.60088048
discontinue year  0.00194049821467     -3.12730863134/-1611.60088048
exclude feb  0.00192917551517     -3.10906095886/-1611.60088048
