Topic 0
Topic coherence: -6081.16678486
AVG: -2.51808148441
SD:  0.804358043586
international restate  0.000910732796989     -5.53831803493/-6081.16678486
half mths  0.000901247921203     -5.48063892334/-6081.16678486
jan revenue  0.000864124927753     -5.25488780862/-6081.16678486
fourth mths  0.000853940869344     -5.19295685089/-6081.16678486
feb fourth  0.000842595534818     -5.1239639794/-6081.16678486
excludes stock  0.000832503894751     -5.06259503303/-6081.16678486
march restate  0.000829587143455     -5.04485778192/-6081.16678486
pct restate  0.000827164722709     -5.03012663734/-6081.16678486
asset nil  0.000825052167506     -5.01727983681/-6081.16678486
earnings excludes  0.000823685225912     -5.008967237/-6081.16678486
company excludes  0.000821635215729     -4.99650078316/-6081.16678486
industry nil  0.000800901387123     -4.87041491332/-6081.16678486
half restate  0.000800848824512     -4.87009527132/-6081.16678486
group restate  0.000797878176274     -4.85203026392/-6081.16678486
excludes month  0.000793978180195     -4.8283137373/-6081.16678486
billion dec  0.000788338519381     -4.79401801928/-6081.16678486
dec industry  0.00078153289423     -4.75263187766/-6081.16678486
company restate  0.000776506237128     -4.72206393746/-6081.16678486
oper report  0.000770446373109     -4.68521289366/-6081.16678486
oper revenue  0.000770446373109     -4.68521289366/-6081.16678486
nil stock  0.000765828349999     -4.65712992492/-6081.16678486
industry restate  0.000764207186946     -4.64727136201/-6081.16678486
report shr  0.000760680495812     -4.62582496502/-6081.16678486
billion excludes  0.00075641109142     -4.59986200484/-6081.16678486
fourth shrs  0.000751790122784     -4.57176112386/-6081.16678486
end excludes  0.000749820000833     -4.55978048369/-6081.16678486
company nil  0.000746524892553     -4.53974238067/-6081.16678486
report rev  0.000740869311778     -4.50534985071/-6081.16678486
company oper  0.000735912040872     -4.47520385953/-6081.16678486
revenue shr  0.000734313409404     -4.46548231494/-6081.16678486
fiscal nil  0.000732482343248     -4.45434729625/-6081.16678486
month restate  0.000732362792441     -4.45362028786/-6081.16678486
report shrs  0.000729831936576     -4.43822973123/-6081.16678486
dec quarter  0.000729783349745     -4.43793426661/-6081.16678486
avg fourth  0.000728612938207     -4.43081679884/-6081.16678486
feb provision  0.000728612938207     -4.43081679884/-6081.16678486
dec stock  0.000726956076564     -4.42074114685/-6081.16678486
