Topic 0
Topic coherence: -260.523787219
AVG: -1.37117782747
SD:  0.508055674785
rev sale  0.0103761258168     -2.70322759444/-260.523787219
avg corp  0.00983156221278     -2.56135582195/-260.523787219
corp shrs  0.00977235660054     -2.54593135163/-260.523787219
shrs year  0.0094528394535     -2.4626895344/-260.523787219
avg year  0.0094405170638     -2.45947925877/-260.523787219
avg dlrs  0.00932880305892     -2.43037510313/-260.523787219
dlrs shrs  0.00929772255638     -2.4222778929/-260.523787219
corp gain  0.00902710405944     -2.35177533718/-260.523787219
gain lt  0.00871322580343     -2.2700025852/-260.523787219
avg lt  0.0085279897787     -2.22174419451/-260.523787219
lt shrs  0.00849314759308     -2.21266697636/-260.523787219
avg sale  0.00837858193079     -2.18281989613/-260.523787219
sale shrs  0.00821126348152     -2.13922946006/-260.523787219
avg mln  0.00818763288672     -2.13307312801/-260.523787219
corp end  0.00817704170047     -2.13031387205/-260.523787219
gain mln  0.00814771826958     -2.12267442078/-260.523787219
mln shrs  0.00813450510303     -2.11923207659/-260.523787219
include shrs  0.00811544400319     -2.11426620667/-260.523787219
avg include  0.00799852873872     -2.08380699919/-260.523787219
gain share  0.00784998899498     -2.0451088626/-260.523787219
gain year  0.00775513653255     -2.02039753986/-260.523787219
ct end  0.00771172978914     -2.00908905068/-260.523787219
end shr  0.00756690600538     -1.97135901005/-260.523787219
end lt  0.00753170986531     -1.96218957834/-260.523787219
avg profit  0.00752684797952     -1.96092294144/-260.523787219
profit shrs  0.00739371020212     -1.92623738346/-260.523787219
end qtr  0.00737485315292     -1.92132467358/-260.523787219
dlrs gain  0.00736803920999     -1.91954947936/-260.523787219
dlrs profit  0.00730612785018     -1.90342009743/-260.523787219
ct gain  0.00720846283928     -1.87797603892/-260.523787219
avg end  0.0071619849431     -1.86586744138/-260.523787219
end rev  0.00711255035575     -1.85298855546/-260.523787219
end share  0.00710774816145     -1.85173746962/-260.523787219
end shrs  0.00704557562817     -1.83554004579/-260.523787219
end note  0.00676198751987     -1.7616585978/-260.523787219
lt profit  0.00669052120976     -1.74303992403/-260.523787219
dlrs rev  0.00664229443663     -1.73047570245/-260.523787219
dlrs end  0.00662682730586     -1.72644614697/-260.523787219
end mln  0.00660463125426     -1.72066354754/-260.523787219
gain net  0.00656487305838     -1.71030559178/-260.523787219
gain sale  0.00649458906281     -1.69199493907/-260.523787219
end gain  0.0064905964563     -1.69095477011/-260.523787219
include lt  0.00645569289331     -1.68186156169/-260.523787219
end include  0.00645499902446     -1.68168079235/-260.523787219
gain profit  0.00645093100416     -1.68062097629/-260.523787219
rev share  0.00644669199644     -1.67951661395/-260.523787219
share shr  0.00641889296694     -1.6722743055/-260.523787219
end net  0.00640641666784     -1.66902393281/-260.523787219
avg loss  0.00636497762567     -1.6582280766/-260.523787219
gain qtr  0.00634815471594     -1.65384530845/-260.523787219
mln profit  0.00633125775061     -1.64944324705/-260.523787219
share shrs  0.00630450665271     -1.64247394971/-260.523787219
gain shr  0.00629050571131     -1.63882637143/-260.523787219
loss shrs  0.00628690535268     -1.63788839237/-260.523787219
rev year  0.00621468481516     -1.61907322442/-260.523787219
avg share  0.00616060275807     -1.60498356208/-260.523787219
ct shrs  0.00615538396585     -1.60362394257/-260.523787219
avg ct  0.00610625150503     -1.5908237678/-260.523787219
ct profit  0.00608191911868     -1.58448460236/-260.523787219
ct sale  0.00607586004703     -1.58290607006/-260.523787219
avg note  0.00607395300421     -1.58240924005/-260.523787219
gain rev  0.00606794912402     -1.58084508644/-260.523787219
note shrs  0.00602505525897     -1.56967021427/-260.523787219
end sale  0.00601416021487     -1.56683179612/-260.523787219
ct include  0.00598610332072     -1.5595223078/-260.523787219
corp year  0.0059829189882     -1.55869271343/-260.523787219
qtr share  0.00596632436842     -1.55436942024/-260.523787219
gain shrs  0.00591476711951     -1.54093753049/-260.523787219
profit year  0.00586480440451     -1.52792105476/-260.523787219
include mln  0.00584767738993     -1.52345906006/-260.523787219
loss lt  0.00580950318547     -1.51351377174/-260.523787219
avg gain  0.00580770793681     -1.51304606676/-260.523787219
end loss  0.00578080135153     -1.50603626126/-260.523787219
end profit  0.00577964267316     -1.50573439798/-260.523787219
lt sale  0.00571864874051     -1.48984402765/-260.523787219
dlrs loss  0.00564278781701     -1.47008045256/-260.523787219
gain loss  0.00562591608768     -1.46568496574/-260.523787219
loss mln  0.00561155503378     -1.46194356959/-260.523787219
end year  0.00560709548836     -1.46078175192/-260.523787219
avg net  0.00560103957596     -1.45920404269/-260.523787219
net shrs  0.00558961569522     -1.45622785002/-260.523787219
lt rev  0.00557274640154     -1.45183299774/-260.523787219
sale year  0.00554862983054     -1.44555005733/-260.523787219
include year  0.00554416914312     -1.44438794215/-260.523787219
share year  0.00552194313376     -1.43859753801/-260.523787219
mln rev  0.00541501158654     -1.41073932636/-260.523787219
ct share  0.0054054076608     -1.40823727525/-260.523787219
dlrs include  0.00535889907923     -1.39612068344/-260.523787219
gain include  0.005318793696     -1.38567227712/-260.523787219
dlrs sale  0.00531112491134     -1.38367437629/-260.523787219
note profit  0.00528495073888     -1.37685538176/-260.523787219
mln sale  0.00526221843538     -1.37093307596/-260.523787219
sale shr  0.00525634178043     -1.36940206756/-260.523787219
lt note  0.00524912873134     -1.36752289669/-260.523787219
include sale  0.00524483471251     -1.36640420264/-260.523787219
gain note  0.00522926282399     -1.36234735527/-260.523787219
net share  0.00520980118336     -1.35727713495/-260.523787219
note sale  0.00516659333242     -1.34602046198/-260.523787219
include net  0.00515848462902     -1.34390795186/-260.523787219
dlrs note  0.0051222828233     -1.33447652033/-260.523787219
profit qtr  0.00511868042038     -1.33353800868/-260.523787219
loss share  0.00509039388528     -1.32616869343/-260.523787219
corp note  0.00508966849152     -1.3259797111/-260.523787219
loss year  0.00507871721136     -1.32312664212/-260.523787219
include qtr  0.00507626649609     -1.32248817249/-260.523787219
qtr sale  0.00505523399912     -1.31700870673/-260.523787219
note year  0.00502772057549     -1.3098408054/-260.523787219
include shr  0.00498937551335     -1.29985100459/-260.523787219
corp profit  0.00494610838523     -1.28857888851/-260.523787219
net sale  0.00493568973467     -1.28586458221/-260.523787219
loss sale  0.0049333246586     -1.28524842364/-260.523787219
profit shr  0.00491807152314     -1.28127461902/-260.523787219
mln note  0.00488787634104     -1.27340805582/-260.523787219
corp mln  0.00488221912396     -1.27193421621/-260.523787219
qtr shrs  0.00487762411643     -1.27073710744/-260.523787219
avg shr  0.00481927249033     -1.25553512082/-260.523787219
mln share  0.00481219855601     -1.25369219266/-260.523787219
avg qtr  0.00479834237693     -1.25008232841/-260.523787219
shr shrs  0.00478500064575     -1.24660649008/-260.523787219
corp net  0.0047847741359     -1.24654747887/-260.523787219
corp shr  0.00477931830409     -1.24512610491/-260.523787219
sale share  0.00475650889156     -1.23918371037/-260.523787219
corp loss  0.00471342369247     -1.22795899113/-260.523787219
rev shrs  0.00466043188309     -1.21415336426/-260.523787219
corp include  0.0046461161234     -1.21042376833/-260.523787219
include rev  0.00464262015232     -1.2095129847/-260.523787219
corp rev  0.00464262015232     -1.2095129847/-260.523787219
profit rev  0.0046337451863     -1.20720084494/-260.523787219
net profit  0.00461736801742     -1.20293420288/-260.523787219
include profit  0.00461500486027     -1.20231854423/-260.523787219
corp ct  0.00458464276128     -1.19440849521/-260.523787219
avg rev  0.00457218843143     -1.19116384603/-260.523787219
corp sale  0.00453382521388     -1.18116931531/-260.523787219
note share  0.00451760718091     -1.17694413194/-260.523787219
corp qtr  0.00451481903686     -1.17621775409/-260.523787219
profit sale  0.00450041661683     -1.17246558108/-260.523787219
mln qtr  0.00444207104381     -1.15726517143/-260.523787219
lt qtr  0.00442752746893     -1.15347622422/-260.523787219
corp dlrs  0.00429087907689     -1.11787606761/-260.523787219
profit share  0.00428101855553     -1.11530716724/-260.523787219
ct loss  0.00423563326283     -1.1034832189/-260.523787219
include share  0.00422171668308     -1.09985761884/-260.523787219
lt share  0.00412507254684     -1.07467952246/-260.523787219
lt year  0.00410843597381     -1.07034529944/-260.523787219
dlrs share  0.00404420309603     -1.05361110686/-260.523787219
corp share  0.00402089586393     -1.04753901848/-260.523787219
include loss  0.00396264354264     -1.03236290313/-260.523787219
include note  0.00390627804972     -1.01767835144/-260.523787219
ct year  0.00390539724768     -1.01744888156/-260.523787219
lt shr  0.00384299749389     -1.00119226138/-260.523787219
