Topic 0
Topic coherence: -11066.1177317
AVG: -2.76307558844
SD:  0.904004531847
ct stg  0.000663449280222     -7.34180784394/-11066.1177317
rev stg  0.000657677674267     -7.27793857295/-11066.1177317
rev turnover  0.000657677674267     -7.27793857295/-11066.1177317
qtr turnover  0.000626412996477     -6.93195996768/-11066.1177317
expect mths  0.0005945401424     -6.57925121201/-11066.1177317
mths turnover  0.0005945401424     -6.57925121201/-11066.1177317
shrs stg  0.000588975414047     -6.51767127291/-11066.1177317
avg stg  0.000588305537531     -6.51025834052/-11066.1177317
avg turnover  0.000588305537531     -6.51025834052/-11066.1177317
qtr stg  0.000563776108151     -6.23881278712/-11066.1177317
ct turnover  0.000550242191804     -6.08904487545/-11066.1177317
preferred stg  0.000532153922551     -5.88887795833/-11066.1177317
mths stg  0.000531903254074     -5.88610403145/-11066.1177317
make mths  0.000531903254074     -5.88610403145/-11066.1177317
avg expect  0.000525668649205     -5.81711115996/-11066.1177317
avg make  0.000525668649205     -5.81711115996/-11066.1177317
expect shr  0.000525514834822     -5.81540903189/-11066.1177317
fiscal turnover  0.000525399301977     -5.81413053183/-11066.1177317
oper turnover  0.000522660730941     -5.78382518233/-11066.1177317
loan rev  0.000512239323487     -5.66850066051/-11066.1177317
expect rev  0.000512239323487     -5.66850066051/-11066.1177317
international restate  0.000500475249696     -5.53831803493/-11066.1177317
dilute fourth  0.000497860990657     -5.50938833663/-11066.1177317
half mths  0.000495263023241     -5.48063892334/-11066.1177317
discontinue loan  0.000491417084182     -5.43807930892/-11066.1177317
expect shrs  0.000489698294888     -5.41905898424/-11066.1177317
jan revenue  0.000474862814225     -5.25488780862/-11066.1177317
preferred turnover  0.000471742299481     -5.22035582508/-11066.1177317
store technology  0.000470760051461     -5.20948615284/-11066.1177317
fourth mths  0.000469266365748     -5.19295685089/-11066.1177317
feb fourth  0.000463031760879     -5.1239639794/-11066.1177317
adjust technology  0.000462221298692     -5.11499530942/-11066.1177317
split turnover  0.000461129250016     -5.10291057021/-11066.1177317
expect oper  0.000460023842616     -5.09067800177/-11066.1177317
oper stg  0.000460023842616     -5.09067800177/-11066.1177317
make oper  0.000460023842616     -5.09067800177/-11066.1177317
excludes stock  0.00045748609908     -5.06259503303/-11066.1177317
stock turnover  0.00045748609908     -5.06259503303/-11066.1177317
excludes expect  0.000456334925191     -5.04985600725/-11066.1177317
excludes stg  0.000456334925191     -5.04985600725/-11066.1177317
excludes turnover  0.000456334925191     -5.04985600725/-11066.1177317
march restate  0.00045588325592     -5.04485778192/-11066.1177317
pct restate  0.000454552062368     -5.03012663734/-11066.1177317
asset nil  0.000453391149314     -5.01727983681/-11066.1177317
dlr turnover  0.000452891059891     -5.01174578838/-11066.1177317
earnings excludes  0.000452639973516     -5.008967237/-11066.1177317
company excludes  0.000451513430844     -4.99650078316/-11066.1177317
dividend technology  0.000450348237977     -4.98360662171/-11066.1177317
prior turnover  0.000449602435161     -4.97535347995/-11066.1177317
dilute service  0.000445419410846     -4.9290636404/-11066.1177317
make rev  0.0004409896423     -4.88004330015/-11066.1177317
industry nil  0.000440119564188     -4.87041491332/-11066.1177317
half restate  0.000440090679441     -4.87009527132/-11066.1177317
group restate  0.00043845821828     -4.85203026392/-11066.1177317
dilute figure  0.000437891658881     -4.84576065091/-11066.1177317
excludes month  0.00043631505234     -4.8283137373/-11066.1177317
dilute month  0.00043631505234     -4.8283137373/-11066.1177317
corp stg  0.00043631505234     -4.8283137373/-11066.1177317
dilute expect  0.000434918708569     -4.81286163274/-11066.1177317
dilute report  0.000433450715676     -4.79661665056/-11066.1177317
cost dilute  0.000433226575186     -4.7941362855/-11066.1177317
billion dec  0.000433215887949     -4.79401801928/-11066.1177317
prior technology  0.000433126778457     -4.79303192316/-11066.1177317
prior stg  0.000433126778457     -4.79303192316/-11066.1177317
mths pre-tax  0.000432626134916     -4.78749174278/-11066.1177317
corp turnover  0.000431906083869     -4.77952357313/-11066.1177317
dlrs turnover  0.000429929711943     -4.75765280871/-11066.1177317
dec industry  0.000429475990849     -4.75263187766/-11066.1177317
make qtr  0.000427858758161     -4.73473539034/-11066.1177317
