Topic 0
Topic coherence: -13664.449494
AVG: -2.76049484728
SD:  0.894132565472
ct stg  0.00053729261813     -7.34180784394/-13664.449494
rev stg  0.000532618498545     -7.27793857295/-13664.449494
rev turnover  0.000532618498545     -7.27793857295/-13664.449494
qtr turnover  0.000507298883187     -6.93195996768/-13664.449494
expect mths  0.000481486737895     -6.57925121201/-13664.449494
mths turnover  0.000481486737895     -6.57925121201/-13664.449494
shrs stg  0.000476980157581     -6.51767127291/-13664.449494
avg stg  0.000476437659883     -6.51025834052/-13664.449494
avg turnover  0.000476437659883     -6.51025834052/-13664.449494
qtr stg  0.000456572567365     -6.23881278712/-13664.449494
ct turnover  0.000445612161552     -6.08904487545/-13664.449494
preferred stg  0.000430963425267     -5.88887795833/-13664.449494
mths stg  0.000430760422074     -5.88610403145/-13664.449494
make mths  0.000430760422074     -5.88610403145/-13664.449494
avg expect  0.000425711344062     -5.81711115996/-13664.449494
avg make  0.000425711344062     -5.81711115996/-13664.449494
expect shr  0.000425586777897     -5.81540903189/-13664.449494
fiscal turnover  0.000425493213932     -5.81413053183/-13664.449494
oper turnover  0.000423275389533     -5.78382518233/-13664.449494
loan rev  0.000414835640689     -5.66850066051/-13664.449494
expect rev  0.000414835640689     -5.66850066051/-13664.449494
item loan  0.000408752233015     -5.58537424361/-13664.449494
international restate  0.000405308537117     -5.53831803493/-13664.449494
dilute fourth  0.000403191386454     -5.50938833663/-13664.449494
half mths  0.000401087429518     -5.48063892334/-13664.449494
discontinue loan  0.000397972806098     -5.43807930892/-13664.449494
expect shrs  0.000396580849204     -5.41905898424/-13664.449494
jan revenue  0.000384566375024     -5.25488780862/-13664.449494
preferred turnover  0.000382039234538     -5.22035582508/-13664.449494
store technology  0.000381243763616     -5.20948615284/-13664.449494
cent pretax  0.000381243763616     -5.20948615284/-13664.449494
fourth mths  0.000380034106252     -5.19295685089/-13664.449494
feb fourth  0.00037498502824     -5.1239639794/-13664.449494
adjust technology  0.000374328677614     -5.11499530942/-13664.449494
split turnover  0.000373444284926     -5.10291057021/-13664.449494
expect oper  0.000372549073711     -5.09067800177/-13664.449494
oper stg  0.000372549073711     -5.09067800177/-13664.449494
make oper  0.000372549073711     -5.09067800177/-13664.449494
excludes stock  0.000370493888923     -5.06259503303/-13664.449494
stock turnover  0.000370493888923     -5.06259503303/-13664.449494
excludes expect  0.00036956161384     -5.04985600725/-13664.449494
excludes stg  0.00036956161384     -5.04985600725/-13664.449494
excludes turnover  0.00036956161384     -5.04985600725/-13664.449494
business excludes  0.00036956161384     -5.04985600725/-13664.449494
march restate  0.000369195830694     -5.04485778192/-13664.449494
dec expense  0.000368140547747     -5.03043792139/-13664.449494
pct restate  0.00036811776717     -5.03012663734/-13664.449494
asset nil  0.00036717760485     -5.01727983681/-13664.449494
dlr turnover  0.000366772608774     -5.01174578838/-13664.449494
earnings excludes  0.000366569267147     -5.008967237/-13664.449494
company excludes  0.00036565693959     -4.99650078316/-13664.449494
dividend technology  0.000364713311275     -4.98360662171/-13664.449494
prior turnover  0.000364109324867     -4.97535347995/-13664.449494
dilute service  0.000360721713857     -4.9290636404/-13664.449494
shrs unit  0.000359197299725     -4.90823336048/-13664.449494
item stock  0.00035715112258     -4.88027347623/-13664.449494
make rev  0.000357134277695     -4.88004330015/-13664.449494
industry nil  0.000356429647272     -4.87041491332/-13664.449494
half restate  0.000356406255038     -4.87009527132/-13664.449494
group restate  0.00035508421075     -4.85203026392/-13664.449494
item pre-tax  0.00035508421075     -4.85203026392/-13664.449494
item jan  0.000354893382469     -4.84942270051/-13664.449494
dilute figure  0.000354625384142     -4.84576065091/-13664.449494
excludes month  0.000353348573568     -4.8283137373/-13664.449494
dilute month  0.000353348573568     -4.8283137373/-13664.449494
corp stg  0.000353348573568     -4.8283137373/-13664.449494
shr unit  0.000352511837662     -4.81688020178/-13664.449494
dilute expect  0.000352217748315     -4.81286163274/-13664.449494
dilute report  0.000351028898212     -4.79661665056/-13664.449494
cost dilute  0.000350847378637     -4.7941362855/-13664.449494
billion dec  0.000350838723608     -4.79401801928/-13664.449494
prior technology  0.000350766558525     -4.79303192316/-13664.449494
prior stg  0.000350766558525     -4.79303192316/-13664.449494
mths pre-tax  0.000350361113697     -4.78749174278/-13664.449494
mths u.s.  0.000350361113697     -4.78749174278/-13664.449494
corp turnover  0.000349777982291     -4.77952357313/-13664.449494
item system  0.00034871649158     -4.76501888693/-13664.449494
dlrs turnover  0.000348177422793     -4.75765280871/-13664.449494
dec industry  0.000347809977983     -4.75263187766/-13664.449494
make qtr  0.000346500266433     -4.73473539034/-13664.449494
make shrs  0.000345854533383     -4.72591180368/-13664.449494
dlr stg  0.000345719285508     -4.72406371593/-13664.449494
company restate  0.000345572936511     -4.72206393746/-13664.449494
feb technology  0.000345312035685     -4.7184988713/-13664.449494
feb turnover  0.000345312035685     -4.7184988713/-13664.449494
feb restructuring  0.000345312035685     -4.7184988713/-13664.449494
avg unit  0.000345312035685     -4.7184988713/-13664.449494
pre-tax rev  0.000344908824724     -4.71298921548/-13664.449494
adjust pre-tax  0.000344655685059     -4.70953020131/-13664.449494
adjust operating  0.000344655685059     -4.70953020131/-13664.449494
adjust dilute  0.000344655685059     -4.70953020131/-13664.449494
adjust preferred  0.000344655685059     -4.70953020131/-13664.449494
adjust expense  0.000344655685059     -4.70953020131/-13664.449494
ct pre-tax  0.000344159529909     -4.70275051433/-13664.449494
expense split  0.000343771292371     -4.6974454621/-13664.449494
oper report  0.000342876081156     -4.68521289366/-13664.449494
oper revenue  0.000342876081156     -4.68521289366/-13664.449494
tax technology  0.000341969783452     -4.67282883446/-13664.449494
loan technology  0.000341695690981     -4.66908351173/-13664.449494
nil stock  0.000340820896367     -4.65712992492/-13664.449494
income technology  0.000340414486572     -4.6515765588/-13664.449494
industry restate  0.000340099421059     -4.64727136201/-13664.449494
dilute industry  0.000340099421059     -4.64727136201/-13664.449494
dilute pct  0.000339615721264     -4.64066187058/-13664.449494
pre-tax prior  0.000339485410324     -4.63888124333/-13664.449494
mths unit  0.000339079965496     -4.63334106295/-13664.449494
mths oil  0.000339079965496     -4.63334106295/-13664.449494
dlrs stg  0.000338659796173     -4.62759968047/-13664.449494
report shr  0.000338529917875     -4.62582496502/-13664.449494
dilute international  0.000338251995082     -4.62202730305/-13664.449494
dilute profit  0.000337504612295     -4.61181472871/-13664.449494
dilute system  0.000337435343379     -4.6108682071/-13664.449494
dilute march  0.000336861359227     -4.60302502964/-13664.449494
march turnover  0.000336861359227     -4.60302502964/-13664.449494
billion excludes  0.000336629880835     -4.59986200484/-13664.449494
gain turnover  0.000336282837603     -4.59511985013/-13664.449494
fourth shrs  0.000334573385182     -4.57176112386/-13664.449494
corp pre-tax  0.000334148073425     -4.56594947283/-13664.449494
avg pre-tax  0.000334030887484     -4.56434819147/-13664.449494
jan turnover  0.000333840059203     -4.56174062806/-13664.449494
jan restructuring  0.000333840059203     -4.56174062806/-13664.449494
end excludes  0.000333696610733     -4.55978048369/-13664.449494
company nil  0.000332230170169     -4.53974238067/-13664.449494
international pre-tax  0.00033127694791     -4.52671712325/-13664.449494
current dilute  0.000330995767172     -4.52287494326/-13664.449494
dilute technology  0.000330517447795     -4.51633897228/-13664.449494
preferred pretax  0.000330517447795     -4.51633897228/-13664.449494
item technology  0.000330517447795     -4.51633897228/-13664.449494
dilute year  0.000330317221666     -4.51360299246/-13664.449494
extraordinary technology  0.00033011644622     -4.51085950652/-13664.449494
resource store  0.000329847885903     -4.50718977763/-13664.449494
report rev  0.000329713235259     -4.50534985071/-13664.449494
dilute prior  0.000329713235259     -4.50534985071/-13664.449494
mths technology  0.000329307790431     -4.49980967033/-13664.449494
mths store  0.000329307790431     -4.49980967033/-13664.449494
pre-tax qtr  0.000328561566587     -4.48961293231/-13664.449494
loan turnover  0.000328352924639     -4.48676195494/-13664.449494
ct item  0.000327829303696     -4.47960696301/-13664.449494
company oper  0.000327507073116     -4.47520385953/-13664.449494
revenue shr  0.000326795625166     -4.46548231494/-13664.449494
industry store  0.000326756654717     -4.46494980521/-13664.449494
fiscal nil  0.000325980735499     -4.45434729625/-13664.449494
dilute nil  0.000325980735499     -4.45434729625/-13664.449494
nil restructuring  0.000325980735499     -4.45434729625/-13664.449494
nil unit  0.000325980735499     -4.45434729625/-13664.449494
month restate  0.000325927531132     -4.45362028786/-13664.449494
rev store  0.000325276567551     -4.44472522889/-13664.449494
credit technology  0.000325247681581     -4.44433051801/-13664.449494
international store  0.00032490922874     -4.43970574626/-13664.449494
report shrs  0.000324801210116     -4.43822973123/-13664.449494
shrs turnover  0.000324801210116     -4.43822973123/-13664.449494
dec quarter  0.000324779587246     -4.43793426661/-13664.449494
quarter turnover  0.000324779587246     -4.43793426661/-13664.449494
avg fourth  0.000324258712419     -4.43081679884/-13664.449494
feb provision  0.000324258712419     -4.43081679884/-13664.449494
feb resource  0.000324258712419     -4.43081679884/-13664.449494
feb stg  0.000324258712419     -4.43081679884/-13664.449494
avg item  0.000324258712419     -4.43081679884/-13664.449494
cent feb  0.000324258712419     -4.43081679884/-13664.449494
current pre-tax  0.00032402072     -4.42756476346/-13664.449494
current technology  0.00032402072     -4.42756476346/-13664.449494
corp item  0.000323675581013     -4.42284862919/-13664.449494
dec stock  0.000323521349966     -4.42074114685/-13664.449494
nil share  0.000323224644287     -4.41668682708/-13664.449494
split technology  0.000322717969105     -4.40976338965/-13664.449494
march pre-tax  0.000322652516454     -4.4088690152/-13664.449494
item oil  0.000322426507018     -4.40578072068/-13664.449494
dlr nil  0.000322414012122     -4.40560998481/-13664.449494
oper technology  0.00032182275789     -4.39753082121/-13664.449494
fourth shr  0.000321566072082     -4.39402335096/-13664.449494
report restate  0.000321355905657     -4.39115154245/-13664.449494
end restate  0.000321120161385     -4.38793022676/-13664.449494
end preferred  0.000321120161385     -4.38793022676/-13664.449494
prior restructuring  0.00032109356597     -4.38756681505/-13664.449494
mths revenue  0.000320688121142     -4.38202663467/-13664.449494
pretax stock  0.000319767573101     -4.36944785247/-13664.449494
restate system  0.000319043499025     -4.35955377882/-13664.449494
pre-tax system  0.000319043499025     -4.35955377882/-13664.449494
store system  0.000319043499025     -4.35955377882/-13664.449494
excludes revenue  0.000318835298019     -4.35670882669/-13664.449494
excludes pre-tax  0.000318835298019     -4.35670882669/-13664.449494
excludes technology  0.000318835298019     -4.35670882669/-13664.449494
excludes make  0.000318835298019     -4.35670882669/-13664.449494
cent excludes  0.000318835298019     -4.35670882669/-13664.449494
dilute quarter  0.000317804540074     -4.34262408681/-13664.449494
current dec  0.00031765300083     -4.34055338647/-13664.449494
fourth jan  0.00031750983299     -4.33859707675/-13664.449494
jan loan  0.00031750983299     -4.33859707675/-13664.449494
expect jan  0.00031750983299     -4.33859707675/-13664.449494
jan technology  0.00031750983299     -4.33859707675/-13664.449494
american jan  0.00031750983299     -4.33859707675/-13664.449494
dec dilute  0.000317414231926     -4.33729074083/-13664.449494
dec financial  0.000317414231926     -4.33729074083/-13664.449494
month nil  0.000317307861843     -4.3358372522/-13664.449494
dec month  0.000317307861843     -4.3358372522/-13664.449494
month technology  0.000317307861843     -4.3358372522/-13664.449494
rev revenue  0.000317136785911     -4.33349959378/-13664.449494
loan store  0.000317071776438     -4.33261127511/-13664.449494
asset store  0.000316451289029     -4.32413265625/-13664.449494
item shrs  0.000316181540827     -4.32044669558/-13664.449494
dlr pre-tax  0.000316046292952     -4.31859860782/-13664.449494
pct pre-tax  0.000315669428268     -4.31344895937/-13664.449494
avg report  0.00031563904313     -4.31303376319/-13664.449494
industry pre-tax  0.000315475506516     -4.31079912539/-13664.449494
industry preferred  0.000315475506516     -4.31079912539/-13664.449494
exclude stg  0.000314486537354     -4.29728540622/-13664.449494
business shr  0.000314361971189     -4.29558327815/-13664.449494
dilute end  0.000313795793243     -4.28784676821/-13664.449494
nil prior  0.000313383009046     -4.28220629939/-13664.449494
fourth rev  0.000313383009046     -4.28220629939/-13664.449494
operating rev  0.000313383009046     -4.28220629939/-13664.449494
rev unit  0.000313383009046     -4.28220629939/-13664.449494
cent prior  0.000313383009046     -4.28220629939/-13664.449494
restructuring stg  0.000313180567411     -4.2794400459/-13664.449494
company dilute  0.000313029670026     -4.2773781162/-13664.449494
gain technology  0.000312977564218     -4.27666611902/-13664.449494
item mths  0.000312977564218     -4.27666611902/-13664.449494
current restate  0.000311795267029     -4.26051067879/-13664.449494
figure preferred  0.000311609625244     -4.257973986/-13664.449494
item qtr  0.000311597720795     -4.25781131825/-13664.449494
item lt  0.000311509207264     -4.25660182958/-13664.449494
billion nil  0.000311393555987     -4.25502151855/-13664.449494
preferred system  0.000311332942101     -4.25419326316/-13664.449494
note technology  0.000311225059965     -4.25271911317/-13664.449494
ct technology  0.000311082081458     -4.25076539058/-13664.449494
dlrs pre-tax  0.000310793873314     -4.24682718495/-13664.449494
excludes industry  0.000310426428504     -4.2418062539/-13664.449494
reflect technology  0.000310039497226     -4.236519051/-13664.449494
shr technology  0.000309925303481     -4.23495865633/-13664.449494
restructuring shr  0.000309925303481     -4.23495865633/-13664.449494
financial rev  0.000309812417769     -4.23341613522/-13664.449494
business rev  0.000309812417769     -4.23341613522/-13664.449494
cent rev  0.000309812417769     -4.23341613522/-13664.449494
period turnover  0.000309766457456     -4.23278811284/-13664.449494
month preferred  0.000309597304919     -4.23047673655/-13664.449494
pre-tax stock  0.000309539430179     -4.22968591009/-13664.449494
qtr resource  0.000309116716954     -4.22390976658/-13664.449494
cent qtr  0.000309116716954     -4.22390976658/-13664.449494
resource turnover  0.000308794562637     -4.21950770518/-13664.449494
business shrs  0.000308470983903     -4.21508617992/-13664.449494
oil shrs  0.000308470983903     -4.21508617992/-13664.449494
billion technology  0.000308406096116     -4.21419952403/-13664.449494
dilute group  0.000308111671794     -4.21017637775/-13664.449494
feb pretax  0.000307928486206     -4.20767324753/-13664.449494
avg revenue  0.000307928486206     -4.20767324753/-13664.449494
feb revenue  0.000307928486206     -4.20767324753/-13664.449494
feb financial  0.000307928486206     -4.20767324753/-13664.449494
avg business  0.000307928486206     -4.20767324753/-13664.449494
expense feb  0.000307928486206     -4.20767324753/-13664.449494
ct restructuring  0.000307828985709     -4.20631362801/-13664.449494
expense shr  0.000307803920041     -4.20597111946/-13664.449494
dilute loss  0.000307329443808     -4.19948766294/-13664.449494
loan pre-tax  0.000307299601372     -4.19907988249/-13664.449494
adjust restate  0.000307272135579     -4.19870457755/-13664.449494
adjust resource  0.000307272135579     -4.19870457755/-13664.449494
adjust turnover  0.000307272135579     -4.19870457755/-13664.449494
adjust restructuring  0.000307272135579     -4.19870457755/-13664.449494
dlrs nil  0.000307223282037     -4.19803702078/-13664.449494
dec earnings  0.000307223282037     -4.19803702078/-13664.449494
qtr technology  0.000306717072326     -4.19111994375/-13664.449494
operate rev  0.000306407961874     -4.18689611959/-13664.449494
rev u.s.  0.000306407961874     -4.18689611959/-13664.449494
split stg  0.000306387742892     -4.18661983833/-13664.449494
item split  0.000306387742892     -4.18661983833/-13664.449494
current turnover  0.000306371852629     -4.18640270664/-13664.449494
mths operate  0.000306002517045     -4.18135593921/-13664.449494
interest mths  0.000306002517045     -4.18135593921/-13664.449494
business mths  0.000306002517045     -4.18135593921/-13664.449494
expense mths  0.000306002517045     -4.18135593921/-13664.449494
adjust company  0.000305884232545     -4.17973964663/-13664.449494
dilute half  0.000305679939216     -4.17694809076/-13664.449494
half preferred  0.000305679939216     -4.17694809076/-13664.449494
loan oper  0.000305492531677     -4.1743872699/-13664.449494
oper pre-tax  0.000305492531677     -4.1743872699/-13664.449494
data operating  0.000305492531677     -4.1743872699/-13664.449494
data dilute  0.000305492531677     -4.1743872699/-13664.449494
data turnover  0.000305492531677     -4.1743872699/-13664.449494
financial oper  0.000305492531677     -4.1743872699/-13664.449494
cent oper  0.000305492531677     -4.1743872699/-13664.449494
dec share  0.000304832799933     -4.1653723988/-13664.449494
dlr restate  0.000304765144751     -4.16444792799/-13664.449494
dlr technology  0.000304765144751     -4.16444792799/-13664.449494
interest store  0.000304738065156     -4.16407790024/-13664.449494
dec investment  0.000304643207587     -4.16278172378/-13664.449494
dilute investment  0.000304643207587     -4.16278172378/-13664.449494
item pct  0.000304631816412     -4.16262606964/-13664.449494
preferred revenue  0.000304548226907     -4.16148386506/-13664.449494
qtr unit  0.000304393619901     -4.15937124544/-13664.449494
pre-tax technology  0.000304357894929     -4.15888308336/-13664.449494
dilute sale  0.000304357894929     -4.15888308336/-13664.449494
expense jan  0.000304167066648     -4.15627551995/-13664.449494
expense figure  0.000303899068321     -4.15261347035/-13664.449494
expense u.s.  0.000303346057344     -4.14505687979/-13664.449494
item unit  0.000303288315625     -4.14426787099/-13664.449494
expense rev  0.000303154866124     -4.14244435702/-13664.449494
provision technology  0.000302914404259     -4.13915857801/-13664.449494
corp nil  0.000302622257746     -4.13516655674/-13664.449494
qtr u.s.  0.000302141669782     -4.12859958677/-13664.449494
january restructuring  0.000301936012624     -4.12578939493/-13664.449494
revenue shrs  0.000301495936731     -4.11977600011/-13664.449494
expect pre-tax  0.000301491432493     -4.11971445218/-13664.449494
net technology  0.000301353199758     -4.11782557795/-13664.449494
current nil  0.000301322774617     -4.11740983515/-13664.449494
avg oil  0.000300953439033     -4.11236306772/-13664.449494
avg cent  0.000300953439033     -4.11236306772/-13664.449494
company feb  0.000300948703981     -4.11229836584/-13664.449494
company item  0.000300948703981     -4.11229836584/-13664.449494
fourth pretax  0.000300844455239     -4.11087386417/-13664.449494
