Topic 0
Topic coherence: -778.256214578
AVG: -1.78909474616
SD:  0.677947815648
company oper  0.00575029633648     -4.47520385953/-778.256214578
company feb  0.00528399039906     -4.11229836584/-778.256214578
mths year  0.00497490290957     -3.87174910629/-778.256214578
feb year  0.00492515770811     -3.83303459411/-778.256214578
end oper  0.00474751499184     -3.6947830462/-778.256214578
jan share  0.00442633952614     -3.44482624405/-778.256214578
corp feb  0.00439100478683     -3.41732676359/-778.256214578
feb quarter  0.00433433548802     -3.37322352962/-778.256214578
feb share  0.00432616487927     -3.36686470258/-778.256214578
dlrs feb  0.00427094811207     -3.32389191036/-778.256214578
jan year  0.0042084196696     -3.27522876142/-778.256214578
corp oper  0.00414892435196     -3.22892616072/-778.256214578
dlrs jan  0.00413386710894     -3.21720776777/-778.256214578
feb include  0.00410208047673     -3.19246962371/-778.256214578
feb profit  0.00409209501115     -3.18469837307/-778.256214578
corp jan  0.00407331878798     -3.1700856607/-778.256214578
feb tax  0.00405136897291     -3.15300308072/-778.256214578
feb lt  0.00398987762819     -3.10514705954/-778.256214578
feb loss  0.00394767422898     -3.07230200183/-778.256214578
oper share  0.00392871061966     -3.05754345503/-778.256214578
end feb  0.00389114029031     -3.02830411272/-778.256214578
feb sale  0.00387244036425     -3.01375077906/-778.256214578
feb mln  0.00383478378698     -2.98444431378/-778.256214578
lt oper  0.00383016452298     -2.98084934286/-778.256214578
include oper  0.00373243091009     -2.90478755126/-778.256214578
jan lt  0.00370693990542     -2.88494901846/-778.256214578
jan mln  0.00370045288953     -2.87990045803/-778.256214578
mln oper  0.00370045288953     -2.87990045803/-778.256214578
oper sale  0.0036953987939     -2.87596707669/-778.256214578
end jan  0.00368318432103     -2.86646108727/-778.256214578
include jan  0.00362062791339     -2.81777617427/-778.256214578
feb gain  0.0035496515603     -2.76253838639/-778.256214578
dlrs oper  0.0035385815586     -2.75392308877/-778.256214578
mths share  0.00353569815692     -2.75167906349/-778.256214578
oper year  0.00353539610924     -2.75144399301/-778.256214578
feb note  0.00350562496317     -2.72827441356/-778.256214578
dlr feb  0.00350279079761     -2.7260687066/-778.256214578
corp tax  0.00348478839192     -2.7120582225/-778.256214578
dlr mths  0.00347963838949     -2.7080502011/-778.256214578
rev sale  0.003473441707     -2.70322759444/-778.256214578
jan tax  0.00340305290257     -2.64844706997/-778.256214578
jan sale  0.00338098834277     -2.63127518917/-778.256214578
feb jan  0.00336114306575     -2.61583047901/-778.256214578
dlr oper  0.00335859896345     -2.61385051558/-778.256214578
ct feb  0.00334238644321     -2.60123302095/-778.256214578
feb operation  0.00333853464505     -2.5982353351/-778.256214578
avg corp  0.00329114727769     -2.56135582195/-778.256214578
corp shrs  0.00327132800733     -2.54593135163/-778.256214578
ct dlr  0.00326613977961     -2.54189358116/-778.256214578
