Topic 0
Topic coherence: -4297.71018531
AVG: -2.42808485046
SD:  0.779030263797
excludes stock  0.00117797497149     -5.06259503303/-4297.71018531
asset nil  0.00116743093891     -5.01727983681/-4297.71018531
earnings excludes  0.00116549674618     -5.008967237/-4297.71018531
company excludes  0.00116259602619     -4.99650078316/-4297.71018531
industry nil  0.001133258108     -4.87041491332/-4297.71018531
excludes month  0.00112346192021     -4.8283137373/-4297.71018531
billion dec  0.00111548192237     -4.79401801928/-4297.71018531
dec industry  0.00110585211025     -4.75263187766/-4297.71018531
oper report  0.0010901649231     -4.68521289366/-4297.71018531
nil stock  0.00108363052047     -4.65712992492/-4297.71018531
report shr  0.00107634641834     -4.62582496502/-4297.71018531
billion excludes  0.00107030530364     -4.59986200484/-4297.71018531
end excludes  0.00106097905328     -4.55978048369/-4297.71018531
company nil  0.00105631654647     -4.53974238067/-4297.71018531
report rev  0.00104831402222     -4.50534985071/-4297.71018531
company oper  0.00104129959131     -4.47520385953/-4297.71018531
fiscal nil  0.00103644664349     -4.45434729625/-4297.71018531
report shrs  0.00103269637548     -4.43822973123/-4297.71018531
dec quarter  0.00103262762617     -4.43793426661/-4297.71018531
dec stock  0.00102862709588     -4.42074114685/-4297.71018531
nil share  0.00102768372846     -4.41668682708/-4297.71018531
dlr nil  0.00102510634614     -4.40560998481/-4297.71018531
pretax stock  0.00101669206719     -4.36944785247/-4297.71018531
current dec  0.00100996884371     -4.34055338647/-4297.71018531
month nil  0.00100887148394     -4.3358372522/-4297.71018531
dec month  0.00100887148394     -4.3358372522/-4297.71018531
avg report  0.00100356552146     -4.31303376319/-4297.71018531
nil prior  0.000996392524101     -4.28220629939/-4297.71018531
billion nil  0.000990067113669     -4.25502151855/-4297.71018531
excludes industry  0.000986992158848     -4.2418062539/-4297.71018531
feb pretax  0.000979050021082     -4.20767324753/-4297.71018531
dlrs nil  0.000976807844124     -4.19803702078/-4297.71018531
dec earnings  0.000976807844124     -4.19803702078/-4297.71018531
adjust company  0.000972550373668     -4.17973964663/-4297.71018531
dec share  0.000969207373043     -4.1653723988/-4297.71018531
dec investment  0.000968604569477     -4.16278172378/-4297.71018531
corp nil  0.000962179015905     -4.13516655674/-4297.71018531
current nil  0.000958047345591     -4.11740983515/-4297.71018531
company feb  0.000956857998452     -4.11229836584/-4297.71018531
corp excludes  0.000956433488281     -4.11047394415/-4297.71018531
adjust group  0.000956344830613     -4.11009291919/-4297.71018531
dec prior  0.000953969571195     -4.0998847426/-4297.71018531
nil result  0.0009531647207     -4.09642572843/-4297.71018531
dec result  0.0009531647207     -4.09642572843/-4297.71018531
month pretax  0.000951835888832     -4.09071479417/-4297.71018531
credit dec  0.000951124063239     -4.08765557407/-4297.71018531
company dec  0.000946955140283     -4.06973875142/-4297.71018531
corp dec  0.000945351296384     -4.06284589516/-4297.71018531
dec dlrs  0.000939362237075     -4.03710665397/-4297.71018531
billion discontinue  0.000938145615547     -4.03187796724/-4297.71018531
dec dlr  0.000937921907613     -4.03091653537/-4297.71018531
mths report  0.000934055969682     -4.01430185455/-4297.71018531
adjust corp  0.000929658921169     -3.99540461437/-4297.71018531
company discontinue  0.000928330639276     -3.98969604375/-4297.71018531
excludes result  0.000925758722953     -3.97864269277/-4297.71018531
fiscal shr  0.000925406641106     -3.97712954703/-4297.71018531
ct pretax  0.000924797588154     -3.97451201396/-4297.71018531
dec excludes  0.000919383473574     -3.95124371858/-4297.71018531
fiscal mths  0.00091681237508     -3.94019388239/-4297.71018531
investment split  0.000916683071355     -3.93963817246/-4297.71018531
dec sale  0.000915775927726     -3.93573953205/-4297.71018531
current excludes  0.000915624392686     -3.93508827836/-4297.71018531
loss split  0.00091532102622     -3.93378449721/-4297.71018531
earnings nil  0.000909869390844     -3.91035494833/-4297.71018531
credit split  0.000908701110333     -3.90533401728/-4297.71018531
corp pretax  0.000905649801943     -3.89222037813/-4297.71018531
pretax rev  0.000902048073074     -3.87674119128/-4297.71018531
fiscal rev  0.000902048073074     -3.87674119128/-4297.71018531
mths year  0.000900886504522     -3.87174910629/-4297.71018531
dec feb  0.000900758972567     -3.87120101091/-4297.71018531
month split  0.000897899814955     -3.85891318011/-4297.71018531
profit split  0.000893179082572     -3.83862484047/-4297.71018531
adjust profit  0.000893179082572     -3.83862484047/-4297.71018531
fiscal oper  0.000893013923181     -3.83791503327/-4297.71018531
feb year  0.00089187833261     -3.83303459411/-4297.71018531
nil sale  0.000890596569423     -3.82752594741/-4297.71018531
pretax split  0.000889588089209     -3.82319179172/-4297.71018531
group split  0.000889406377333     -3.82241084674/-4297.71018531
dec mln  0.000889372076154     -3.82226343021/-4297.71018531
dividend excludes  0.000888951475827     -3.8204558119/-4297.71018531
fiscal shrs  0.000886430426332     -3.80962107181/-4297.71018531
dec year  0.000886060978454     -3.8080332919/-4297.71018531
dlr excludes  0.000886000409491     -3.80777298405/-4297.71018531
cost mths  0.000885742017409     -3.80666248977/-4297.71018531
mln nil  0.000882878202227     -3.7943546421/-4297.71018531
lt nil  0.000882090237953     -3.79096820001/-4297.71018531
adjust lt  0.000882090237953     -3.79096820001/-4297.71018531
split tax  0.000880823851828     -3.78552563946/-4297.71018531
industry pretax  0.000877630752662     -3.77180262465/-4297.71018531
asset dec  0.00087593548797     -3.76451686832/-4297.71018531
dec lt  0.000875393889593     -3.76218923546/-4297.71018531
nil report  0.000875163739182     -3.76120011569/-4297.71018531
excludes share  0.000874862922015     -3.75990729069/-4297.71018531
dividend nil  0.000874845214771     -3.75983119009/-4297.71018531
dividend fiscal  0.000874845214771     -3.75983119009/-4297.71018531
adjust loss  0.000872898073314     -3.75146294042/-4297.71018531
mths pretax  0.000871635756353     -3.74603786795/-4297.71018531
feb income  0.000869688614896     -3.73766961828/-4297.71018531
company exclude  0.000869357630422     -3.73624714294/-4297.71018531
excludes full  0.000867665280006     -3.72897391132/-4297.71018531
asset rev  0.000866179977464     -3.72259051146/-4297.71018531
nil year  0.000864145304526     -3.71384607684/-4297.71018531
dlrs pretax  0.000862422685367     -3.70644275894/-4297.71018531
dec dividend  0.00086154547808     -3.70267277625/-4297.71018531
cost shr  0.000861127440155     -3.7008761704/-4297.71018531
adjust asset  0.000859882085458     -3.69552399683/-4297.71018531
asset fiscal  0.000859882085458     -3.69552399683/-4297.71018531
end oper  0.000859709679549     -3.6947830462/-4297.71018531
cost rev  0.000859625120168     -3.69441963449/-4297.71018531
nil operation  0.000859252693386     -3.69281905212/-4297.71018531
current split  0.000858588797575     -3.68996582033/-4297.71018531
dec period  0.000857722891385     -3.68624440648/-4297.71018531
period split  0.000857722891385     -3.68624440648/-4297.71018531
avg fiscal  0.00085558235384     -3.67704499647/-4297.71018531
excludes lt  0.000854873028894     -3.67399652342/-4297.71018531
dlrs split  0.000853557535185     -3.66834291271/-4297.71018531
dlr split  0.000853480314755     -3.66801104168/-4297.71018531
excludes report  0.000852445020294     -3.66356164613/-4297.71018531
excludes fiscal  0.000852445020294     -3.66356164613/-4297.71018531
nil quarter  0.000849167754198     -3.64947690625/-4297.71018531
excludes include  0.000847999188013     -3.64445474745/-4297.71018531
end split  0.000847774650853     -3.64348975182/-4297.71018531
split year  0.000846528522921     -3.63813425511/-4297.71018531
excludes sale  0.000842282617149     -3.61988658263/-4297.71018531
cost feb  0.000842282617149     -3.61988658263/-4297.71018531
industry split  0.000841762657053     -3.61765194483/-4297.71018531
adjust fiscal  0.000840195768666     -3.61091791264/-4297.71018531
current pretax  0.000839187394189     -3.60658421139/-4297.71018531
fiscal group  0.000837484879211     -3.59926729542/-4297.71018531
lt pretax  0.00083741368829     -3.59896133748/-4297.71018531
include nil  0.000837174815585     -3.59793473182/-4297.71018531
end pretax  0.000836422055619     -3.59469958765/-4297.71018531
charge nil  0.00083446596227     -3.58629286534/-4297.71018531
adjust charge  0.00083446596227     -3.58629286534/-4297.71018531
excludes period  0.000834435267455     -3.58616094792/-4297.71018531
end nil  0.000830946931332     -3.57116909024/-4297.71018531
corp extraordinary  0.000828665959373     -3.56136613381/-4297.71018531
excludes income  0.00082671099654     -3.55296427013/-4297.71018531
dec jan  0.000826053773593     -3.55013971638/-4297.71018531
jan report  0.000826053773593     -3.55013971638/-4297.71018531
dividend pretax  0.00082567738247     -3.54852209642/-4297.71018531
dec operation  0.000825140697028     -3.54621557793/-4297.71018531
pretax prior  0.000823757024559     -3.54026895466/-4297.71018531
nil period  0.000823610895027     -3.53964093228/-4297.71018531
adjust dlrs  0.00082303146325     -3.53715070244/-4297.71018531
dec include  0.000821827580674     -3.53197676403/-4297.71018531
fiscal qtr  0.00082154506325     -3.53076258602/-4297.71018531
pretax share  0.000821224205426     -3.52938363208/-4297.71018531
excludes mln  0.000819705783352     -3.52285789406/-4297.71018531
asset feb  0.000817767116774     -3.51452606697/-4297.71018531
adjust include  0.000816928830342     -3.51092335483/-4297.71018531
discontinue end  0.000815254556117     -3.50372780944/-4297.71018531
adjust operation  0.000814797569954     -3.50176381536/-4297.71018531
pretax qtr  0.00081391546018     -3.49797276319/-4297.71018531
corp fiscal  0.000812831140293     -3.49331267057/-4297.71018531
charge dec  0.000812288994607     -3.49098268553/-4297.71018531
company pretax  0.00081126746936     -3.48659246607/-4297.71018531
dec tax  0.000810488520026     -3.48324476759/-4297.71018531
billion pretax  0.000810159708354     -3.48183163032/-4297.71018531
dec oper  0.000810022067388     -3.48124008934/-4297.71018531
company extraordinary  0.000808577473547     -3.47503164367/-4297.71018531
pretax shrs  0.000808139377817     -3.47314883519/-4297.71018531
adjust investment  0.000807321665169     -3.46963454322/-4297.71018531
corp full  0.000806787110965     -3.46733718417/-4297.71018531
cost qtr  0.000806528108091     -3.46622406488/-4297.71018531
cost jan  0.000805807788351     -3.46312833939/-4297.71018531
ct nil  0.000805136665062     -3.460244046/-4297.71018531
fiscal lt  0.000804771738591     -3.45867569779/-4297.71018531
include split  0.000802822569286     -3.45029873301/-4297.71018531
excludes prior  0.000802589525057     -3.44929717646/-4297.71018531
sale split  0.000802296147723     -3.4480363257/-4297.71018531
jan share  0.000801549219356     -3.44482624405/-4297.71018531
excludes year  0.000800498024167     -3.44030851178/-4297.71018531
cost ct  0.000798049354338     -3.42978483851/-4297.71018531
billion split  0.000797108696482     -3.42574216367/-4297.71018531
dec end  0.000795853152731     -3.4203462005/-4297.71018531
adjust end  0.000795853152731     -3.4203462005/-4297.71018531
ct fiscal  0.000795734090994     -3.41983450766/-4297.71018531
charge feb  0.000795590149111     -3.41921588716/-4297.71018531
avg income  0.000795590149111     -3.41921588716/-4297.71018531
avg pretax  0.000795590149111     -3.41921588716/-4297.71018531
dec pretax  0.000795243638182     -3.41772668361/-4297.71018531
corp feb  0.000795150583973     -3.41732676359/-4297.71018531
adjust dlr  0.000791655958463     -3.40230787595/-4297.71018531
dec income  0.000790842900931     -3.39881359031/-4297.71018531
fiscal stock  0.000789929535983     -3.39488821247/-4297.71018531
corp discontinue  0.000789543516363     -3.39322921201/-4297.71018531
dlrs excludes  0.000789353332477     -3.39241185679/-4297.71018531
qtr report  0.000789024968514     -3.39100064364/-4297.71018531
income rev  0.000787888928949     -3.38611827484/-4297.71018531
asset oper  0.000787845099725     -3.38592990953/-4297.71018531
mln pretax  0.000787823271117     -3.3858360965/-4297.71018531
income jan  0.000787183287344     -3.38308563172/-4297.71018531
full jan  0.000787183287344     -3.38308563172/-4297.71018531
fiscal jan  0.000787183287344     -3.38308563172/-4297.71018531
cost shrs  0.000786971878315     -3.38217705698/-4297.71018531
ct dec  0.000786696759103     -3.38099467434/-4297.71018531
dec exclude  0.000786696759103     -3.38099467434/-4297.71018531
dec gain  0.000786168536297     -3.37872452581/-4297.71018531
avg cost  0.000785247022038     -3.37476412459/-4297.71018531
pretax year  0.000785108479583     -3.37416870927/-4297.71018531
feb quarter  0.000784888553247     -3.37322352962/-4297.71018531
feb share  0.00078340896836     -3.36686470258/-4297.71018531
prior split  0.000783188121671     -3.36591556752/-4297.71018531
adjust prior  0.000783188121671     -3.36591556752/-4297.71018531
end extraordinary  0.000782295023958     -3.36207729238/-4297.71018531
asset pretax  0.000781591036943     -3.35905176021/-4297.71018531
full stock  0.000781310697094     -3.35784694079/-4297.71018531
nil reflect  0.000780819288155     -3.35573500759/-4297.71018531
nil split  0.000780819288155     -3.35573500759/-4297.71018531
adjust nil  0.000780819288155     -3.35573500759/-4297.71018531
billion prior  0.00078077342592     -3.35553790499/-4297.71018531
dec qtr  0.000779122110344     -3.34844102922/-4297.71018531
gain nil  0.000777706438435     -3.34235688164/-4297.71018531
operation pretax  0.000777488714038     -3.34142116528/-4297.71018531
operation split  0.000777488714038     -3.34142116528/-4297.71018531
dlr pretax  0.000776639003305     -3.33776935481/-4297.71018531
corp exclude  0.000776089940296     -3.33540964112/-4297.71018531
extraordinary feb  0.000775344163869     -3.33220451018/-4297.71018531
feb full  0.000775344163869     -3.33220451018/-4297.71018531
asset prior  0.000774062165881     -3.32669485436/-4297.71018531
prior reflect  0.000774062165881     -3.32669485436/-4297.71018531
corp split  0.00077349011385     -3.32423634053/-4297.71018531
charge split  0.000773418508357     -3.32392860087/-4297.71018531
dlrs feb  0.000773409971133     -3.32389191036/-4297.71018531
fiscal note  0.000771212885854     -3.31444947457/-4297.71018531
asset jan  0.000769939692741     -3.30897765957/-4297.71018531
