Topic 0
Topic coherence: -8435.01540889
AVG: -2.6693086737
SD:  0.87349099971
expect mths  0.000779992791131     -6.57925121201/-8435.01540889
avg expect  0.000689638474618     -5.81711115996/-8435.01540889
expect shr  0.000689436681499     -5.81540903189/-8435.01540889
loan rev  0.000672020190329     -5.66850066051/-8435.01540889
expect rev  0.000672020190329     -5.66850066051/-8435.01540889
international restate  0.000656586593676     -5.53831803493/-8435.01540889
dilute fourth  0.000653156878744     -5.50938833663/-8435.01540889
half mths  0.000649748537219     -5.48063892334/-8435.01540889
discontinue loan  0.000644702948994     -5.43807930892/-8435.01540889
expect shrs  0.000642448024284     -5.41905898424/-8435.01540889
jan revenue  0.000622984968478     -5.25488780862/-8435.01540889
fourth mths  0.000615642841081     -5.19295685089/-8435.01540889
feb fourth  0.000607463499593     -5.1239639794/-8435.01540889
adjust technology  0.000606400233013     -5.11499530942/-8435.01540889
expect oper  0.000603517332808     -5.09067800177/-8435.01540889
excludes stock  0.000600188000569     -5.06259503303/-8435.01540889
excludes expect  0.000598677745381     -5.04985600725/-8435.01540889
march restate  0.00059808518863     -5.04485778192/-8435.01540889
pct restate  0.000596338760928     -5.03012663734/-8435.01540889
asset nil  0.000594815728674     -5.01727983681/-8435.01540889
earnings excludes  0.000593830241462     -5.008967237/-8435.01540889
company excludes  0.000592352300613     -4.99650078316/-8435.01540889
dividend technology  0.000590823653559     -4.98360662171/-8435.01540889
dilute service  0.0005843573961     -4.9290636404/-8435.01540889
industry nil  0.000577404388401     -4.87041491332/-8435.01540889
half restate  0.000577366493745     -4.87009527132/-8435.01540889
group restate  0.000575224825174     -4.85203026392/-8435.01540889
dilute figure  0.000574481541053     -4.84576065091/-8435.01540889
excludes month  0.000572413149621     -4.8283137373/-8435.01540889
dilute month  0.000572413149621     -4.8283137373/-8435.01540889
dilute expect  0.000570581249641     -4.81286163274/-8435.01540889
dilute report  0.0005686553513     -4.79661665056/-8435.01540889
cost dilute  0.000568361295517     -4.7941362855/-8435.01540889
billion dec  0.000568347274651     -4.79401801928/-8435.01540889
prior technology  0.000568230369574     -4.79303192316/-8435.01540889
mths pre-tax  0.000567573562194     -4.78749174278/-8435.01540889
dec industry  0.000563440805651     -4.75263187766/-8435.01540889
company restate  0.000559816871524     -4.72206393746/-8435.01540889
feb technology  0.000559394220706     -4.7184988713/-8435.01540889
pre-tax rev  0.000558741032117     -4.71298921548/-8435.01540889
adjust pre-tax  0.000558330954126     -4.70953020131/-8435.01540889
adjust operating  0.000558330954126     -4.70953020131/-8435.01540889
adjust dilute  0.000558330954126     -4.70953020131/-8435.01540889
ct pre-tax  0.000557527198987     -4.70275051433/-8435.01540889
oper report  0.000555448053921     -4.68521289366/-8435.01540889
oper revenue  0.000555448053921     -4.68521289366/-8435.01540889
tax technology  0.000553979881239     -4.67282883446/-8435.01540889
loan technology  0.000553535860387     -4.66908351173/-8435.01540889
